Date,Open,High,Low,Close,Volume,Adj Close
28-12-2007,94.45,94.97,93.53,94.1,2098800,94.1
27-12-2007,94.06,94.47,93.79,93.93,2412200,93.93
26-12-2007,95.08,95.08,93.86,94.8,3023300,94.8
24-12-2007,94.01,95.65,94.01,95.55,1216700,95.55
21-12-2007,93.23,94.81,93.23,94.36,2924900,94.35
20-12-2007,93.18,93.36,91.61,92.7,3659000,92.69
19-12-2007,93.6,93.7,92.54,92.8,3125100,92.79
18-12-2007,93.53,94.28,92.02,93.72,5318000,93.71
17-12-2007,92.29,93.68,92.21,92.76,6385700,92.75
14-12-2007,93.84,94.27,92.81,93.18,2844200,93.17
13-12-2007,94.48,95.3,93.62,94.75,3995900,94.74
12-12-2007,96.8,98.14,94.08,95.3,5626900,95.29
11-12-2007,98.77,99.26,95.31,95.4,5957100,95.3
10-12-2007,98.94,98.95,98.01,98.65,1234200,98.55
07-12-2007,98.27,98.98,97.89,98.78,3538300,98.68
06-12-2007,97.48,98.46,94.08,98.15,3536000,98.05
05-12-2007,97.7,98.47,97.04,98,3863900,97.9
04-12-2007,96,97.54,95.35,97.05,3667900,96.95
03-12-2007,96.81,97.55,94.1,96.52,2993500,96.42
30-11-2007,96.13,97.9,96.13,96.98,5953200,96.88
29-11-2007,95.8,96.24,95.04,95.73,4101200,95.63
28-11-2007,94.5,96.9,93.81,96.58,11632900,96.48
27-11-2007,92.93,93.71,92.13,93.35,4654100,93.24
26-11-2007,95.08,95.5,92,92,5973000,91.78
23-11-2007,93.33,94.82,93.11,94.25,3846800,94.02
21-11-2007,92.31,93.37,91.67,92.4,5996600,92.18
20-11-2007,92.7,94.43,91.38,93.2,16136700,92.98
19-11-2007,93.8,94.15,92.41,92.7,5940500,92.48
16-11-2007,94.84,95.02,93.36,94.76,5950700,94.53
15-11-2007,94.4,95.81,93.91,94.55,5995700,94.3
14-11-2007,96.99,97.28,94.72,94.72,6280200,94.47
13-11-2007,93.92,96.2,93.76,96.2,7253500,95.95
12-11-2007,92,94.38,91.72,92.6,8468300,92.35
09-11-2007,93.12,93.3,91.25,91.46,9774700,91.21
08-11-2007,94.84,95.4,92.07,94.15,7980500,93.89
07-11-2007,94.82,96.2,94.27,94.36,8345100,94.1
06-11-2007,95.5,95.7,94.02,95.5,5917000,95.22
05-11-2007,95.1,95.62,94.04,94.85,4584600,94.56
02-11-2007,97.1,97.1,94.9,96.2,6800100,95.91
01-11-2007,98.37,98.37,96,96.17,6907100,95.88
31-10-2007,99.52,99.54,97.53,99.1,6998200,98.8
30-10-2007,99.25,99.71,98.83,99.12,3453200,98.82
29-10-2007,99.22,99.94,99.01,99.44,3028200,99.14
26-10-2007,98.9,99.33,97.83,98.96,4631100,98.66
25-10-2007,97.65,98.83,96.59,97.8,6764400,97.5
24-10-2007,96.94,97.53,95.43,97.4,7571800,97.11
23-10-2007,98.2,98.48,96.15,97.9,7343500,97.6
22-10-2007,95.88,97.9,95.56,97.61,5945000,97.31
19-10-2007,98.52,98.52,96.26,96.48,5767000,96.19
18-10-2007,98.65,98.74,97.64,98.35,3620800,98.05
17-10-2007,100.42,100.76,98.02,99,4717000,98.69
16-10-2007,100.5,100.5,99.1,99.68,3626800,99.35
15-10-2007,101.22,102.14,100.11,100.85,4756000,100.51
12-10-2007,102.1,102.45,101.69,102.1,2383700,101.76
11-10-2007,102.3,104.24,101.48,101.75,8453300,101.4
10-10-2007,101.86,102.35,101.38,101.8,4104200,101.45
09-10-2007,101.87,101.87,100.37,101.48,3120600,101.13
08-10-2007,101.75,101.92,101.08,101.65,2012100,101.3
05-10-2007,101.65,102.74,100.84,101.85,4181600,101.5
04-10-2007,101.63,101.65,100.17,100.4,2181200,100.05
03-10-2007,100.2,101.91,100.05,100.85,4249700,100.49
02-10-2007,99.61,100.48,99.6,100.47,3159000,100.11
01-10-2007,99,100.22,98.69,99.87,6219100,99.51
28-09-2007,100.15,100.56,99.9,100.16,2709900,99.8
27-09-2007,100.47,100.65,99.94,100.15,3804400,99.79
26-09-2007,100.23,100.59,99.54,100.35,4139700,99.99
25-09-2007,99.26,99.95,98.58,99.8,8033500,99.44
24-09-2007,102.06,102.52,101.08,101.4,3405100,101.03
21-09-2007,102.5,102.69,101.85,101.99,4780100,101.62
20-09-2007,103.8,103.8,101.55,101.9,8582700,101.53
19-09-2007,104.5,105.1,103.42,103.7,7077000,103.32
18-09-2007,100.97,105,100.76,105,7970500,104.62
17-09-2007,100.34,100.5,99.68,100.05,4330400,99.69
14-09-2007,99.05,101.01,98.93,100.85,3807100,100.48
13-09-2007,99.27,100.86,98.8,99.9,7356700,99.54
12-09-2007,97.86,99.1,97.86,98.49,6150300,98.13
11-09-2007,96.77,98.58,96.74,98.4,6789400,98.03
10-09-2007,97.46,97.49,95.85,96.45,5329400,96.09
07-09-2007,97.67,98.18,96.69,96.97,8891600,96.6
06-09-2007,100.53,100.53,98.85,99.3,3043000,98.92
05-09-2007,99.8,99.99,98.23,99.35,14305100,98.97
04-09-2007,101.2,101.6,100.64,100.95,8811500,100.57
31-08-2007,100.81,102.75,100.48,101.95,5141600,101.56
30-08-2007,99,100.55,99,99.94,3736200,99.56
29-08-2007,98.02,100.6,97.87,100.55,5920300,100.17
28-08-2007,98.81,98.86,97.15,97.32,5753500,96.95
27-08-2007,99.71,100.32,98.88,99.25,2994500,98.77
24-08-2007,98.58,99.95,98.58,99.7,3340600,99.22
23-08-2007,99.41,99.56,98.08,98.35,2734500,97.88
22-08-2007,99.06,99.64,98.54,99.6,6158300,99.12
21-08-2007,97.15,98.31,96.69,98.07,3156500,97.6
20-08-2007,97.99,97.99,96.44,97.04,3788600,96.57
17-08-2007,98.61,98.89,95.76,97.05,8262800,96.58
16-08-2007,94.33,96.42,93,95.93,7493100,95.47
15-08-2007,96.16,97.37,94.71,94.95,7290300,94.45
14-08-2007,98.6,99.75,96.11,96.41,9078500,95.83
13-08-2007,101.1,101.3,99.54,99.75,4206000,99.15
10-08-2007,98.97,100.76,97.78,100.2,6656800,99.58
09-08-2007,100.79,101.87,99.6,99.6,6912100,98.99
08-08-2007,102.33,103.25,101.05,103.2,9234700,102.56
07-08-2007,100.27,101.95,99.88,101.51,8056100,100.88
06-08-2007,99.2,101.21,97.51,101.15,7418300,100.52
03-08-2007,101.69,101.71,98.14,98.58,6500500,97.96
02-08-2007,101.08,102.15,100.47,101.69,5770600,101.05
01-08-2007,99.6,101.27,99.07,100.68,7723400,100.05
31-07-2007,102.45,102.77,99.9,99.9,5684300,99.27
30-07-2007,100.81,101.99,100.41,101.57,3891700,100.93
27-07-2007,101,102.07,99.1,100.8,6641200,100.17
26-07-2007,103.34,103.58,100.86,102,8106100,101.36
25-07-2007,105.04,105.22,103.43,104.17,4407300,103.52
24-07-2007,104.74,105.59,103.17,103.48,6722900,102.82
23-07-2007,106.07,106.24,105.17,105.24,3042500,104.57
20-07-2007,106.47,106.58,105.37,105.68,4270300,105.01
19-07-2007,106.65,107.07,106.42,106.76,2286800,106.08
18-07-2007,107.37,108.07,106.29,106.78,4916100,106.09
17-07-2007,107.09,107.22,106.34,106.52,2824300,105.81
16-07-2007,107.77,107.87,107.19,107.5,2898400,106.78
13-07-2007,107.43,108.31,107.17,108.18,3451400,107.46
12-07-2007,106.71,107.83,106.34,107.65,6500800,106.93
11-07-2007,104.94,105.6,104.56,105.44,5105200,104.74
10-07-2007,106.02,106.35,105.02,105.07,4731700,104.37
09-07-2007,107.25,107.39,106.59,107.08,1824700,106.37
06-07-2007,105.51,107.36,105.11,107.35,4992800,106.64
05-07-2007,105,105.65,104.96,105.65,2311700,104.93
03-07-2007,105.45,105.59,104.66,105.14,3180500,104.42
02-07-2007,104.75,105.55,104.75,105.42,1489800,104.7
29-06-2007,105.05,105.68,104.24,104.58,2690500,103.86
28-06-2007,105.15,105.69,104.8,104.94,4455500,104.22
27-06-2007,103.7,105.33,103.5,105.25,3134200,104.53
26-06-2007,104.8,105,103.75,103.85,4734600,103.13
25-06-2007,105.52,105.88,104.53,104.91,3545600,104.18
22-06-2007,105.9,106.07,105.3,105.36,2141000,104.63
21-06-2007,105.47,106.05,104.6,106.01,3615200,105.28
20-06-2007,106.17,107.02,105.29,105.52,5555500,104.79
19-06-2007,105.28,105.28,104.65,105.04,2482900,104.31
18-06-2007,105.9,106,105.46,105.59,2401400,104.86
15-06-2007,106.89,106.93,105.72,105.9,2654600,105.17
14-06-2007,105.47,105.8,105.1,105.61,2030800,104.88
13-06-2007,104.71,105.41,104.41,105.3,1890000,104.57
12-06-2007,105.3,105.3,104.07,104.07,2731400,103.34
11-06-2007,105.9,105.97,105.15,105.53,1249900,104.78
08-06-2007,104.98,106.07,104.75,106.01,3084000,105.26
07-06-2007,106.44,106.81,104.87,104.87,5045600,104.13
06-06-2007,107.05,107.3,106.29,106.6,5596900,105.85
05-06-2007,108.05,108.05,107.07,107.31,3836400,106.55
04-06-2007,107.55,108.73,107.55,108.24,2335400,107.39
01-06-2007,106.2,108.03,106.15,107.42,5066300,106.57
31-05-2007,105.29,106.34,105.29,105.99,3270300,105.15
30-05-2007,104.13,105.25,104.12,105.25,1893700,104.42
29-05-2007,104.55,105.1,104.24,104.7,3945200,103.87
25-05-2007,104.55,104.55,104.05,104.44,1912300,103.6
24-05-2007,103.95,105.63,103.82,104.18,5362800,103.34
23-05-2007,104.7,105.28,103.66,103.84,4058600,103.01
22-05-2007,103.76,104.2,103.16,103.71,2127300,102.88
21-05-2007,104.18,104.63,103.72,104.05,4171700,103.22
18-05-2007,103.64,104.64,103.43,104.5,5171400,103.66
17-05-2007,103.25,103.53,103.03,103.19,2139100,102.36
16-05-2007,102.73,103.19,102.15,103.18,3150800,102.35
15-05-2007,103.05,104.25,102.48,102.6,5643300,101.67
14-05-2007,103.62,103.98,103.25,103.35,2393700,102.41
11-05-2007,103.85,104.13,103,103.64,4133600,102.7
10-05-2007,104.43,105.97,103.7,103.85,8476100,102.89
09-05-2007,103.89,105.03,103.67,105.03,4555100,104.06
08-05-2007,104.22,104.5,103.64,104.02,4117200,103.06
07-05-2007,104.27,104.75,104.23,104.52,1374600,103.55
04-05-2007,104.35,104.35,103.38,104.25,1964400,103.28
03-05-2007,104.02,104.82,103.64,104,5207200,103.03
02-05-2007,103.94,104.78,103.82,104.07,2623000,103.1
01-05-2007,102.97,104.01,102.24,103.89,11396300,102.92
30-04-2007,105.13,105.13,103.2,103.33,6188100,102.37
27-04-2007,105.65,105.65,104.8,105.04,3171600,104.06
26-04-2007,105.64,105.8,105.05,105.76,1300800,104.78
25-04-2007,105.35,105.95,105.07,105.84,1660500,104.86
24-04-2007,104.2,104.71,103.46,104.55,4205700,103.57
23-04-2007,105.3,106.15,104.73,104.83,2287000,103.84
20-04-2007,104.51,105.82,104.51,105.62,3246800,104.62
19-04-2007,103.5,104.56,103.38,104.37,3718200,103.37
18-04-2007,104.04,104.24,103.59,104,1754700,103
17-04-2007,104,104.57,103.83,104.42,1947200,103.41
16-04-2007,102.75,103.73,102.68,103.64,2892900,102.63
13-04-2007,102.55,102.55,101.73,102.35,5448600,101.36
12-04-2007,102.2,103.14,101.33,102.67,3205000,101.67
11-04-2007,103.49,103.57,102.1,102.5,5169000,101.5
10-04-2007,103.85,104.31,103.37,103.55,3066800,102.54
09-04-2007,103.57,104.01,103.1,103.98,1970400,102.97
05-04-2007,102.98,103.52,102.81,103.37,1283400,102.37
04-04-2007,102.9,103.29,102.68,103.04,1402600,102.03
03-04-2007,102.3,103.57,102.05,102.38,4157500,101.37
02-04-2007,101,101.69,100.86,101.68,1106300,100.68
30-03-2007,101.25,101.93,100.33,101.05,3384500,100.06
29-03-2007,101.75,101.95,100.43,101.24,5477400,100.24
28-03-2007,101.75,101.88,100.54,101.17,5541600,100.18
27-03-2007,103,103.2,101.92,102.48,2042600,101.47
26-03-2007,103.48,104.18,102.06,103.5,1841800,102.48
23-03-2007,103.24,103.89,102.99,103.71,1983600,102.69
22-03-2007,103.28,103.57,102.63,103.28,2006800,102.26
21-03-2007,101.75,103.65,101.48,103.41,2428500,102.39
20-03-2007,100.65,101.86,100.6,101.68,3520800,100.68
19-03-2007,100.21,100.93,100.19,100.68,2239200,99.69
16-03-2007,99.96,100.62,99.58,99.78,3748600,98.79
15-03-2007,99.03,100.26,98.95,99.97,2606100,98.98
14-03-2007,99.25,99.43,96.71,99.1,11423500,98.12
13-03-2007,100.68,101.08,98.83,99.13,8834500,98.07
12-03-2007,101.19,101.53,100.95,101.13,2769800,100.04
09-03-2007,102.2,102.42,100.85,101.42,3866900,100.32
08-03-2007,101.8,102.43,101.43,101.73,2641300,100.63
07-03-2007,100.86,101.4,100.46,100.93,2057300,99.84
06-03-2007,100.45,101.45,99.9,100.94,4995800,99.85
05-03-2007,100.08,101.38,99.7,99.75,4994700,98.58
02-03-2007,100.96,101.94,100.76,100.92,3530700,99.74
01-03-2007,101.76,101.97,99.5,101.42,3605100,100.23
28-02-2007,101.89,102.68,101.27,102.09,4877800,100.89
27-02-2007,103.87,104.04,100.76,101.71,4193400,100.52
26-02-2007,105.6,105.67,104.28,105,2002100,103.76
23-02-2007,105.75,106.21,105.05,105.43,4074900,104.18
22-02-2007,105.9,106.13,104.85,105.5,2668600,104.25
21-02-2007,106.2,106.54,105.78,106.08,2194900,104.82
20-02-2007,105.31,106.72,104.79,106.58,2634600,105.32
16-02-2007,105.17,105.31,104.66,105.14,2102200,103.89
15-02-2007,104.64,105.58,104.3,105.49,1954700,104.24
14-02-2007,104.32,104.9,104.05,104.61,2041100,103.35
13-02-2007,103.76,104.52,103.69,104.42,1903000,103.15
12-02-2007,104.14,104.35,103.66,103.78,1725400,102.51
09-02-2007,104.6,104.95,103.52,103.75,2790000,102.47
08-02-2007,104.61,104.9,104.18,104.46,2203300,103.17
07-02-2007,104.23,104.84,104.05,104.6,1080500,103.31
06-02-2007,104,104.59,104,104.44,1094800,103.15
05-02-2007,104.08,104.44,103.7,103.92,1117200,102.63
02-02-2007,104.05,104.38,103.7,104.08,1485600,102.79
01-02-2007,103.57,104.43,103.41,104.18,3300400,102.89
31-01-2007,101.64,103.68,101.57,103.35,4287100,102.07
30-01-2007,102.24,102.62,101.49,101.9,4860900,100.63
29-01-2007,101.88,102.29,101.52,101.87,1937900,100.6
26-01-2007,102.03,102.03,101.09,101.62,1742000,100.36
25-01-2007,103.27,103.35,101.74,101.88,2544700,100.61
24-01-2007,102.41,103.44,102.4,103.25,1772100,101.97
23-01-2007,102.45,103.02,101.78,102.38,3399500,101.11
22-01-2007,103.2,103.35,101.9,102.32,2843300,101.05
19-01-2007,103,103.28,102.75,103.27,2388600,101.99
18-01-2007,102.2,103.16,101.89,102.87,3728200,101.59
17-01-2007,102.05,102.46,101.76,101.96,1685200,100.69
16-01-2007,101.85,102.36,101.81,102.19,1123000,100.9
12-01-2007,101.55,102.15,101.16,102.03,2185200,100.74
11-01-2007,100.49,101.78,100.4,101.66,3460100,100.38
10-01-2007,99.71,100.5,99.35,100.49,1738800,99.22
09-01-2007,99.68,100.45,99.54,100.05,2189200,98.79
08-01-2007,99.27,99.57,98.62,99.44,4175600,98.18
05-01-2007,100.55,100.77,99.28,99.38,2974500,98.13
04-01-2007,100,100.88,99.73,100.65,3012600,99.38
03-01-2007,100.4,101.76,99.88,100.47,6438400,99.2
29-12-2006,99.55,100.28,99.18,99.35,1312100,98.1
28-12-2006,99.91,100.03,99.44,99.44,1169700,98.17
27-12-2006,99.37,99.95,98.96,99.91,3142800,98.63
26-12-2006,98.77,99.2,98.35,99.17,2076800,97.89
22-12-2006,99.27,99.5,98.84,99.2,1132700,97.92
21-12-2006,99.15,99.38,98.76,98.92,1648700,97.64
20-12-2006,99.8,99.93,98.93,98.94,1954800,97.66
19-12-2006,99.45,100.11,98.99,99.66,3523800,98.38
18-12-2006,100.89,100.9,99.92,100.27,2203900,98.98
15-12-2006,101.11,101.62,100.22,100.43,2234800,99.14
14-12-2006,99.3,100.97,99.13,100.84,6564200,99.54
13-12-2006,99.13,99.25,98.33,98.77,2473500,97.5
12-12-2006,98.45,99.27,97.96,98.48,2302200,97.14
11-12-2006,99.13,99.41,98.71,99.24,1715700,97.89
08-12-2006,99,99.83,98.83,99.23,1498600,97.88
07-12-2006,100.32,100.38,98.9,98.9,3801600,97.55
06-12-2006,99.6,100.44,99.59,100.05,1889200,98.68
05-12-2006,99,99.98,98.92,99.79,3549000,98.43
04-12-2006,97.45,99.21,97.36,98.82,3442700,97.47
01-12-2006,97.65,98.77,96.57,97.4,7161800,96.07
30-11-2006,97.46,98.03,96.47,97.58,4401400,96.25
29-11-2006,97.55,98.24,97.31,97.72,1670200,96.39
28-11-2006,97,97.3,96.56,97.02,1877300,95.69
27-11-2006,98.85,99.07,97.1,97.25,4268600,95.81
24-11-2006,98.75,99.12,98.5,98.55,795200,97.09
22-11-2006,99.23,99.7,98.67,99.26,1693300,97.79
21-11-2006,99.41,99.41,98.94,98.99,1011500,97.53
20-11-2006,99.16,99.98,98.98,99.29,1944300,97.82
17-11-2006,99.45,100,99.09,99.63,2289800,98.16
16-11-2006,99.6,100.06,98.95,99.89,2493400,98.41
15-11-2006,99.42,100.2,99.36,99.57,3490400,98.08
14-11-2006,98,99.38,97.37,99.26,3681200,97.76
13-11-2006,97.73,98.28,96.8,96.85,2254300,95.39
10-11-2006,96.88,97.6,96.83,97.57,1652000,96.09
09-11-2006,98.1,98.15,96.8,96.8,3212000,95.33
08-11-2006,97.61,98.41,97.13,98.06,2381900,96.56
07-11-2006,97.42,98.47,97.4,98.19,2590500,96.69
06-11-2006,96.7,97.91,96.7,97.52,2958500,96.02
03-11-2006,98.12,98.12,96.08,96.82,4321000,95.33
02-11-2006,97.13,98.02,96.98,97.53,5374300,96.03
01-11-2006,100.05,100.1,98.19,98.55,4852700,97.03
31-10-2006,100.82,101.14,99.93,100.14,2756500,98.6
30-10-2006,99.81,100.76,99.34,100.54,2231600,98.99
27-10-2006,100.92,101.09,100,100.29,2199500,98.75
26-10-2006,100.36,101.49,99.78,101.3,3322300,99.74
25-10-2006,100.6,100.94,99.28,99.65,4761000,98.12
24-10-2006,100.34,100.97,100.02,100.4,2858100,98.85
23-10-2006,98.4,100.99,98.22,100.45,5067800,98.9
20-10-2006,98.2,98.91,97.96,98.67,2032600,97.15
19-10-2006,98.67,99.26,97.96,98.2,2510000,96.69
18-10-2006,98.98,99.39,98.37,98.89,1453800,97.37
17-10-2006,98.83,98.95,97.86,98.51,4445400,96.98
16-10-2006,99.47,99.75,99.3,99.3,1581000,97.75
13-10-2006,99.66,99.95,99.27,99.95,2063500,98.39
12-10-2006,99.76,100.57,99.64,100.57,3580100,99
11-10-2006,98.39,99.5,98.35,99.25,3266800,97.7
10-10-2006,98.5,99.21,98.41,98.66,1687500,97.12
09-10-2006,97.2,98.56,97.05,98.51,1665800,96.98
06-10-2006,98.12,98.25,97.05,97.58,3834300,96.06
05-10-2006,99.04,99.25,97.63,98.6,5199700,97.06
04-10-2006,97.15,99.52,97.13,99.39,4276000,97.83
03-10-2006,96.7,98.3,96.11,98.08,3499400,96.54
02-10-2006,96.44,97.37,96.08,96.51,3317000,94.99
29-09-2006,98,98.36,97,97.1,3686700,95.57
28-09-2006,97.67,98.38,96.85,98.09,5706500,96.54
27-09-2006,98,98.69,97.48,97.8,3653400,96.25
26-09-2006,97.25,98.74,96.91,97.98,4452800,96.43
25-09-2006,96.8,97.84,96.14,97.53,3637300,95.99
22-09-2006,96.2,96.94,95.7,96.86,3103800,95.33
21-09-2006,99.18,99.18,96.21,96.5,4681700,94.98
20-09-2006,99.04,99.16,98.26,98.74,3210100,97.18
19-09-2006,98.01,98.25,97.28,98.2,4045400,96.65
18-09-2006,97.74,98.3,97.16,97.8,2671200,96.25
15-09-2006,98.5,99.13,97.64,98.28,3941300,96.73
14-09-2006,97.38,98.41,96.63,98.3,4955500,96.75
13-09-2006,97.66,98.4,96.84,97.85,4258500,96.3
12-09-2006,95.5,98.08,95.39,97.57,5576300,96.01
11-09-2006,93.76,95.95,93.76,95.68,3076400,94.15
08-09-2006,93.32,94.44,92.84,94.3,2319300,92.79
07-09-2006,92.57,93.81,92.57,92.87,2864000,91.38
06-09-2006,93.68,93.68,92.93,93.18,1811300,91.69
05-09-2006,93.36,94.04,93.36,93.88,1462200,92.38
01-09-2006,92.31,93.56,92.31,93.29,1980000,91.74
31-08-2006,92.5,92.5,91.68,92.37,1371500,90.83
30-08-2006,92.36,92.7,91.6,92.25,2007200,90.72
29-08-2006,91.74,92.46,91.2,92.35,1747600,90.81
28-08-2006,90.2,92.06,90.2,91.4,2863200,89.87
25-08-2006,89.9,90.48,89.7,90.31,1645700,88.79
24-08-2006,90.77,90.77,89.82,90.27,2444100,88.75
23-08-2006,91.54,91.79,90.55,90.9,2993200,89.37
22-08-2006,92.35,92.59,91.7,91.89,886100,90.35
21-08-2006,92.66,92.7,92.05,92.33,2463600,90.78
18-08-2006,94.3,94.3,92.93,93.47,2411500,91.9
17-08-2006,92.49,94.69,92.49,93.99,5782100,92.41
16-08-2006,93.29,93.49,92.14,93.12,2300900,91.56
15-08-2006,92.54,93.25,91.9,93.11,2349800,91.45
14-08-2006,91.85,93,91.65,91.74,4558000,90.11
11-08-2006,91.1,91.26,90.52,91.22,1744200,89.6
10-08-2006,89.4,91.21,89.11,91.21,3668300,89.58
09-08-2006,91.67,91.7,89.17,89.25,3731100,87.65
08-08-2006,92,92,90.5,90.72,2309000,89.1
07-08-2006,91.49,91.83,90.82,91.51,1169700,89.87
04-08-2006,92.78,92.78,91.24,91.79,3103600,90.14
03-08-2006,89.4,91.67,89.4,91.38,2761100,89.74
02-08-2006,89.54,90.2,89.38,90.08,1748300,88.46
01-08-2006,90,90.01,88.97,89.55,2146600,87.94
31-07-2006,90.63,91.07,89.73,90.5,1739800,88.87
28-07-2006,89.92,91,89.92,90.43,3642600,88.81
27-07-2006,90.39,90.51,89.09,89.36,3500100,87.75
26-07-2006,91.24,91.24,90,90.07,3731700,88.44
25-07-2006,90.64,92.14,90.34,91.93,3388800,90.27
24-07-2006,89.13,91.41,89.13,91.05,3557800,89.4
21-07-2006,90.01,90.01,88.91,89.13,3719600,87.52
20-07-2006,90.97,91.5,89.99,90,3696400,88.37
19-07-2006,88.5,90.7,88.5,90.36,5877300,88.73
18-07-2006,89.1,89.1,87.12,88.25,9515400,86.64
17-07-2006,89.5,90.4,88.95,89.34,3585400,87.71
14-07-2006,89.94,90.11,88.54,89,5480500,87.37
13-07-2006,90.3,90.85,89.26,90.19,4398400,88.54
12-07-2006,92.76,92.82,90.9,91.05,2961000,89.39
11-07-2006,92.91,92.95,91.6,92.89,1850700,91.19
10-07-2006,93.35,93.77,92.8,93,1109000,91.3
07-07-2006,92.77,93.51,92.44,92.81,2434300,91.11
06-07-2006,93.26,93.8,93,93.15,2507200,91.45
05-07-2006,93.54,93.58,93.02,93.42,3103400,91.71
03-07-2006,94.61,94.61,93.74,94.3,1791200,92.58
30-06-2006,94.99,95.14,94.4,94.61,1551000,92.88
29-06-2006,94.1,95.2,93.5,95.05,3142600,93.3
28-06-2006,93.52,93.52,92.52,93.3,1329900,91.57
27-06-2006,94.15,94.22,92.91,93.23,1320600,91.51
26-06-2006,93.73,94.45,93.42,93.9,1449500,92.16
23-06-2006,93.48,94.12,93.22,93.29,1017100,91.57
22-06-2006,93.95,93.95,93.18,93.7,1537400,91.97
21-06-2006,93.52,94.43,93.24,94.04,1829500,92.3
20-06-2006,93.43,93.7,92.92,93.32,2075100,91.59
19-06-2006,93.63,94.1,92.76,93.06,2780500,91.34
16-06-2006,93.93,94.6,93.19,93.4,2396800,91.67
15-06-2006,92.6,94.17,92.41,94,5134600,92.26
14-06-2006,92,92.72,91.42,92.25,3717600,90.54
13-06-2006,91.05,92.4,91.05,91.78,4734500,90.06
12-06-2006,92.21,92.35,90.93,90.98,3803300,89.28
09-06-2006,92.5,92.86,92.08,92.08,2958700,90.36
08-06-2006,91.75,92.76,90.74,92.33,6220600,90.6
07-06-2006,92.29,92.88,91.35,91.35,3768500,89.64
